file,real_time_sec,user_time_sec,sys_time_sec,file_size,read_count
SRR2657613_1.fastq.gz,553.00,534.00,15.87,1.51 GB,"13,316,864"
SRR2657613_2.fastq.gz,528.75,510.81,14.48,1.40 GB,"13,316,864"
ERR9597096_1.fastq.gz,261.92,251.64,3.63,532.84 MB,"8,947,245"
ERR9597096_2.fastq.gz,271.80,262.30,7.80,563.96 MB,"8,947,245"
ERR12208157_1.fastq.gz,67.85,65.15,1.49,103.16 MB,"2,099,075"
ERR12208157_2.fastq.gz,72.58,69.21,1.93,112.39 MB,"2,099,075"
ERR3518720_1.fastq.gz,88.61,85.48,2.40,193.29 MB,"2,592,706"
ERR3518720_2.fastq.gz,90.79,87.51,2.46,203.68 MB,"2,592,706"
ERR5556694_1.fastq.gz,472.09,457.41,11.29,1.23 GB,"15,896,076"
ERR5556694_2.fastq.gz,494.38,480.17,10.40,1.34 GB,"15,896,076"
ERR10670994_1.fastq.gz,14.64,13.59,0.48,13.91 MB,"179,065"
ERR10670994_2.fastq.gz,15.65,14.56,0.52,14.36 MB,"179,065"
ERR10670995_1.fastq.gz,7.98,7.23,0.34,7.05 MB,"87,792"
ERR10670995_2.fastq.gz,8.50,7.58,0.34,7.00 MB,"87,792"
ERR10959867_1.fastq.gz,37.34,35.46,1.10,56.19 MB,"451,373"
ERR10959867_2.fastq.gz,35.22,33.28,1.02,46.56 MB,"451,373"
SRR11172610_1.fastq.gz,308.85,295.20,7.83,770.71 MB,"10,658,858"
SRR11172610_2.fastq.gz,314.34,302.44,8.10,819.53 MB,"10,658,858"
SRR24919655_1.fastq.gz,362.06,349.76,8.19,706.76 MB,"15,881,173"
SRR24919655_2.fastq.gz,365.49,352.78,8.37,710.20 MB,"15,881,173"
SRR8649743_1.fastq.gz,450.65,432.62,11.71,1.16 GB,"10,979,812"
SRR8649743_2.fastq.gz,489.68,467.97,13.58,1.32 GB,"10,979,812"
