file,real_time_sec,user_time_sec,sys_time_sec,file_size,read_count
SRR2657613_1.fastq.gz,559.78,535.17,20.56,1.51 GB,"13,316,864"
SRR2657613_2.fastq.gz,593.00,565.88,22.28,1.40 GB,"13,316,864"
ERR9597096_1.fastq.gz,92.90,87.34,4.03,532.84 MB,"8,947,245"
ERR9597096_2.fastq.gz,106.74,100.22,4.83,563.96 MB,"8,947,245"
ERR12208157_1.fastq.gz,19.40,17.64,0.95,103.16 MB,"2,099,075"
ERR12208157_2.fastq.gz,21.00,19.79,0.74,112.39 MB,"2,099,075"
ERR3518720_1.fastq.gz,32.64,30.68,1.17,193.29 MB,"2,592,706"
ERR3518720_2.fastq.gz,34.02,32.34,1.08,203.68 MB,"2,592,706"
ERR5556694_1.fastq.gz,1113.16,1039.75,56.99,1.23 GB,"15,896,076"
ERR5556694_2.fastq.gz,1165.54,1072.19,73.75,1.34 GB,"15,896,076"
ERR10670994_1.fastq.gz,2.36,1.77,0.19,13.91 MB,"179,065"
ERR10670994_2.fastq.gz,2.52,1.88,0.19,14.36 MB,"179,065"
ERR10670995_1.fastq.gz,1.67,1.10,0.16,7.05 MB,"87,792"
ERR10670995_2.fastq.gz,1.75,1.14,0.17,7.00 MB,"87,792"
ERR10959867_1.fastq.gz,9.57,8.59,0.39,56.19 MB,"451,373"
ERR10959867_2.fastq.gz,8.10,7.35,0.32,46.56 MB,"451,373"
SRR11172610_1.fastq.gz,852.01,813.14,29.12,770.71 MB,"10,658,858"
SRR11172610_2.fastq.gz,860.97,823.29,27.74,819.53 MB,"10,658,858"
SRR24919655_1.fastq.gz,473.66,442.01,23.42,706.76 MB,"15,881,173"
SRR24919655_2.fastq.gz,544.43,476.53,52.49,710.20 MB,"15,881,173"
SRR8649743_1.fastq.gz,237.08,227.51,7.23,1.16 GB,"10,979,812"
SRR8649743_2.fastq.gz,269.23,254.57,10.38,1.32 GB,"10,979,812"
